leaf,s
MESH:C535809,12.468800000000003
MESH:C535810,9.276480000000001
MESH:C535811,4.610880000000001
MESH:C535812,24.749120000000012
MESH:C535813,7.508800000000001
MESH:C535814,7.387200000000001
MESH:C535815,4.161139200000001
MESH:C535816,4.610880000000001
MESH:C535817,6.8752
MESH:C535818,12.081984000000002
MESH:C535819,6.172480000000002
MESH:C535820,6.172480000000002
MESH:C535821,5.723200000000002
MESH:C535823,9.564480000000003
MESH:C535824,7.265600000000001
MESH:C535826,12.361024000000002
MESH:C535827,3.6892800000000006
MESH:C535828,4.923200000000001
MESH:C535829,23.786304000000012
MESH:C535830,12.513600000000006
MESH:C535831,11.126080000000004
MESH:C535832,3.3616000000000006
MESH:C535833,6.363200000000002
MESH:C535835,9.805120000000002
MESH:C535836,8.0272
MESH:C535837,8.0272
MESH:C535839,9.467200000000002
MESH:C535840,9.334080000000002
MESH:C535841,9.373760000000003
MESH:C535842,5.723200000000001
MESH:C535843,5.25088
MESH:C535844,12.520000000000005
MESH:C535845,6.840128000000001
MESH:C535846,13.527360000000005
MESH:C535847,15.382080000000004
MESH:C535849,5.563200000000001
MESH:C535850,7.9056000000000015
MESH:C535852,9.979200000000002
MESH:C535853,7.2848000000000015
MESH:C535855,8.084800000000001
MESH:C535856,10.497600000000004
MESH:C535857,10.466624000000003
MESH:C535858,4.923200000000001
MESH:C535860,6.4656
MESH:C535861,9.974080000000004
MESH:C535862,3.3616000000000006
MESH:C535863,6.8752
MESH:C535864,10.563443200000002
MESH:C535865,12.356160000000004
MESH:C535866,16.444224000000006
MESH:C535869,3.3616
MESH:C535870,11.707200000000006
MESH:C535871,12.264000000000005
MESH:C535874,12.652864000000006
MESH:C535875,12.101184000000002
MESH:C535876,12.449600000000004
MESH:C535877,13.399104000000007
MESH:C535878,14.230080000000005
MESH:C535879,4.42656
MESH:C535880,20.393280000000008
MESH:C535881,8.770880000000004
MESH:C535882,17.119040000000005
MESH:C535883,8.436800000000002
MESH:C535884,3.3616000000000006
MESH:C535885,8.436800000000002
MESH:C535886,10.660723200000003
MESH:C535887,4.610880000000002
MESH:C535888,16.366400000000006
MESH:C535889,5.723200000000001
MESH:C535890,6.972480000000002
MESH:C535891,11.638080000000004
MESH:C535892,3.9514240000000007
MESH:C535894,11.875904000000004
MESH:C535895,5.528384000000001
MESH:C535896,8.283763200000003
MESH:C535897,5.528384000000001
MESH:C535898,5.528384000000001
MESH:C535899,5.528384000000001
MESH:C535900,8.283763200000003
MESH:C535902,8.283763200000003
MESH:C535903,4.283200000000001
MESH:C535904,5.25088
MESH:C535905,14.127680000000002
MESH:C535906,5.528384000000001
MESH:C535908,15.105600000000006
MESH:C535909,11.419200000000005
MESH:C535910,12.961600000000006
MESH:C535912,3.6892800000000006
MESH:C535913,13.820480000000003
MESH:C535914,9.033024000000003
MESH:C535915,11.228480000000003
MESH:C535916,11.228480000000003
MESH:C535917,14.102080000000004
MESH:C535918,7.9056000000000015
MESH:C535919,7.007040000000002
MESH:C535921,5.1292800000000005
MESH:C535922,4.904
MESH:C535924,6.465600000000002
MESH:C535927,8.436800000000002
MESH:C535928,12.368448000000003
MESH:C535929,4.904
MESH:C535932,6.8752
MESH:C535933,4.9232000000000005
MESH:C535934,4.9232000000000005
MESH:C535935,4.9232000000000005
MESH:C535937,6.875200000000001
MESH:C535938,6.8752
MESH:C535939,4.329280000000001
MESH:C535942,4.923200000000001
MESH:C535943,12.552000000000005
MESH:C535944,15.694144000000009
MESH:C535945,10.957120000000003
MESH:C535947,9.236800000000002
MESH:C535949,15.376960000000004
MESH:C535950,6.5872
MESH:C535952,8.130880000000003
MESH:C535953,7.163200000000001
MESH:C535954,5.723200000000001
MESH:C535955,9.651264000000003
MESH:C535956,7.421760000000002
MESH:C535958,6.1223040000000015
MESH:C535959,6.1223040000000015
MESH:C535962,6.1223040000000015
MESH:C535963,14.542400000000002
MESH:C535964,4.923200000000001
MESH:C535966,7.831360000000003
MESH:C535967,9.467200000000002
MESH:C535968,5.435200000000001
MESH:C535969,7.796800000000002
MESH:C535970,5.435200000000001
MESH:C535971,25.451840000000015
MESH:C535973,3.3616000000000006
MESH:C535974,4.938560000000001
MESH:C535975,6.875200000000001
MESH:C535976,9.271360000000001
MESH:C535977,4.104000000000001
MESH:C535978,9.946944000000006
MESH:C535979,9.946944000000006
MESH:C535981,7.202880000000001
MESH:C535982,6.8752
MESH:C535983,4.42656
MESH:C535984,2.952
MESH:C535985,8.436800000000002
MESH:C535986,15.685184000000003
MESH:C535988,15.829619200000007
